start time,finish time,time diff,file size,transmitted,block size,transfer speed (b/s),write to file,transfer complete
1693344063.8659785,1693344065.2872484,1.4212698936462402,303000,303000,2048,213189,True,True
1693344065.3389776,1693344071.2281904,5.8892128467559814,304000,304000,512,51619,False,True
1693344071.2995992,1693344074.2021701,2.902570962905884,304000,304000,1024,104734,False,True
1693344074.2567978,1693344075.6938083,1.4370105266571045,304000,304000,2048,211550,False,True
1693344075.7384632,1693344081.6370566,5.898593425750732,304000,304000,512,51537,True,True
1693344081.6981637,1693344084.6046567,2.9064929485321045,304000,304000,1024,104593,True,True
1693344084.658133,1693344086.0949109,1.4367778301239014,304000,304000,2048,211584,True,True
1693344086.1517045,1693344092.0532234,5.901518821716309,305000,305000,512,51681,False,True
1693344092.1032367,1693344095.029079,2.92584228515625,305000,305000,1024,104243,False,True
1693344095.0834036,1693344096.5337842,1.450380563735962,305000,305000,2048,210289,False,True
1693344096.566249,1693344102.4793928,5.913143873214722,305000,305000,512,51580,True,True
1693344102.538141,1693344105.4645731,2.9264321327209473,305000,305000,1024,104222,True,True
1693344105.5052326,1693344106.9660952,1.460862636566162,305000,305000,2048,208780,True,True
1693344107.0459666,1693344112.935421,5.889454364776611,306000,306000,512,51957,False,True
1693344113.0000184,1693344115.9258175,2.9257991313934326,306000,306000,1024,104586,False,True
1693344115.9735646,1693344117.4251523,1.4515876770019531,306000,306000,2048,210803,False,True
1693344117.4636254,1693344123.405597,5.94197154045105,306000,306000,512,51498,True,True
1693344123.4635386,1693344126.3887944,2.92525577545166,306000,306000,1024,104606,True,True
1693344126.4462893,1693344127.897533,1.4512436389923096,306000,306000,2048,210853,True,True
1693344127.9347525,1693344133.896422,5.961669445037842,307000,307000,512,51495,False,True
1693344133.9425435,1693344136.8961504,2.9536068439483643,307000,307000,1024,103940,False,True
1693344136.942056,1693344138.4218884,1.479832410812378,307000,307000,2048,207455,False,True
1693344138.4790282,1693344144.3958871,5.916858911514282,307000,307000,512,51885,True,True
1693344144.454099,1693344147.3988287,2.944729804992676,307000,307000,1024,104254,True,True
1693344147.44556,1693344148.893072,1.447511911392212,307000,307000,2048,212088,True,True
1693344148.9371254,1693344154.9162266,5.979101181030273,308000,308000,512,51512,False,True
1693344154.9950082,1693344157.9270196,2.932011365890503,308000,308000,1024,105047,False,True
1693344157.974091,1693344159.4359775,1.4618864059448242,308000,308000,2048,210686,False,True
1693344159.5093038,1693344165.456995,5.947691202163696,308000,308000,512,51784,True,True
1693344165.502372,1693344168.4670303,2.964658260345459,308000,308000,1024,103890,True,True
1693344168.5503633,1693344169.9776926,1.4273293018341064,308000,308000,2048,215787,True,True
1693344170.0328124,1693344176.0205755,5.987763166427612,309000,309000,512,51605,False,True
1693344176.0831993,1693344179.0375497,2.954350471496582,309000,309000,1024,104591,False,True
1693344179.095385,1693344180.6543827,1.558997631072998,309000,309000,2048,198204,False,True
1693344180.728865,1693344186.5881512,5.859286308288574,309000,309000,512,52736,True,True
1693344186.641064,1693344189.6076627,2.9665987491607666,309000,309000,1024,104159,True,True
1693344189.6844919,1693344191.1171591,1.4326672554016113,309000,309000,2048,215681,True,True
1693344191.1560643,1693344197.177632,6.0215678215026855,310000,310000,512,51481,False,True
1693344197.2193346,1693344200.2079375,2.988602876663208,310000,310000,1024,103727,False,True
1693344200.264614,1693344201.719546,1.4549319744110107,310000,310000,2048,213068,False,True
1693344201.7956944,1693344207.7880557,5.992361307144165,310000,310000,512,51732,True,True
1693344207.850329,1693344210.8195364,2.969207525253296,310000,310000,1024,104404,True,True
1693344210.8909855,1693344212.3328395,1.4418540000915527,310000,310000,2048,215000,True,True
1693344212.3864164,1693344218.419026,6.032609462738037,311000,311000,512,51553,False,True
1693344218.4716396,1693344221.4586794,2.987039804458618,311000,311000,1024,104116,False,True
1693344221.5158825,1693344222.9712217,1.4553391933441162,311000,311000,2048,213695,False,True
1693344223.0506995,1693344229.0578456,6.007146120071411,311000,311000,512,51771,True,True
1693344229.1112525,1693344232.1539755,3.0427229404449463,311000,311000,1024,102211,True,True
1693344232.1872365,1693344233.6243532,1.4371166229248047,311000,311000,2048,216405,True,True
1693344233.6723113,1693344239.7247748,6.052463531494141,312000,312000,512,51549,False,True
1693344239.7752976,1693344242.766887,2.991589307785034,312000,312000,1024,104292,False,True
1693344242.8255777,1693344244.3089073,1.4833295345306396,312000,312000,2048,210337,False,True
1693344244.3639123,1693344250.4099648,6.0460524559021,312000,312000,512,51603,True,True
1693344250.4534988,1693344253.443892,2.9903931617736816,312000,312000,1024,104334,True,True
1693344253.499535,1693344254.9734333,1.47389817237854,312000,312000,2048,211683,True,True
1693344255.0392346,1693344261.1094692,6.070234537124634,313000,313000,512,51563,False,True
1693344261.1865282,1693344264.1594748,2.9729466438293457,313000,313000,1024,105282,False,True
1693344264.2372174,1693344265.7003927,1.4631752967834473,313000,313000,2048,213918,False,True
1693344265.7684927,1693344271.8164163,6.047923564910889,313000,313000,512,51753,True,True
1693344271.8590999,1693344274.8651793,3.0060794353485107,313000,313000,1024,104122,True,True
1693344274.916282,1693344276.4135385,1.4972565174102783,313000,313000,2048,209049,True,True
1693344276.457609,1693344282.5495675,6.091958522796631,314000,314000,512,51543,False,True
1693344282.6060867,1693344285.609474,3.003387212753296,314000,314000,1024,104548,False,True
1693344285.6579356,1693344287.149043,1.49110746383667,314000,314000,2048,210581,False,True
1693344287.1993341,1693344293.2854927,6.086158514022827,314000,314000,512,51592,True,True
1693344293.3516805,1693344296.3627026,3.0110220909118652,314000,314000,1024,104283,True,True
1693344296.4084861,1693344297.9198341,1.511348009109497,314000,314000,2048,207761,True,True
1693344297.9578822,1693344304.0714698,6.1135876178741455,315000,315000,512,51524,False,True
1693344304.1156454,1693344307.1421254,3.026479959487915,315000,315000,1024,104081,False,True
1693344307.1907618,1693344308.6767461,1.4859843254089355,315000,315000,2048,211980,False,True
1693344308.7280412,1693344314.9079237,6.179882526397705,315000,315000,512,50971,True,True
1693344314.9767532,1693344317.9172616,2.9405083656311035,315000,315000,1024,107124,True,True
1693344317.9719152,1693344319.4606955,1.4887802600860596,315000,315000,2048,211582,True,True
1693344319.5036392,1693344325.6452222,6.14158296585083,316000,316000,512,51452,False,True
1693344325.6826375,1693344328.7297935,3.0471560955047607,316000,316000,1024,103703,False,True
1693344328.7783813,1693344330.2879076,1.509526252746582,316000,316000,2048,209337,False,True
1693344330.3258095,1693344336.4672656,6.141456127166748,316000,316000,512,51453,True,True
1693344336.5094974,1693344339.5520396,3.0425422191619873,316000,316000,1024,103860,True,True
1693344339.590197,1693344341.0972514,1.507054328918457,316000,316000,2048,209680,True,True
1693344341.1482062,1693344347.3078053,6.15959906578064,317000,317000,512,51464,False,True
1693344347.3619356,1693344350.3958538,3.0339181423187256,317000,317000,1024,104485,False,True
1693344350.4479427,1693344351.9523528,1.5044100284576416,317000,317000,2048,210713,False,True
